TrialNo,TableDim,Distance,Bounces,Velocity,RunUpD,Start_x,Start_y,V_theta,Occl_x,Occl_y,Occl_theta,End_x,End_y,Sim_theta,Prebounces
295,1200x900,800,1,600,400,1123.18861745,696.627413389,4.13779917289,906.009807842,361.197056004,4.13779917289,471,334,5.28697878788,0
296,1200x900,800,1,600,400,958.100336124,571.915396888,3.90244248773,668.689924195,296.376337104,3.90244248773,89,279,5.52233547304,0
297,1200x900,800,1,600,400,555.504838908,178.160085004,0.0548941610699,954.502918971,200.084776697,0.0548941610699,625,244,6.22829114611,0
298,1200x900,800,1,600,400,1135.37592859,437.815743566,3.95506412594,860.85874437,147.435862087,3.95506412594,311,457,5.46971383483,0
299,1200x900,800,1,600,400,1082.91422064,343.652639055,1.82684687949,981.710785168,730.224785812,1.82684687949,779,274,1.3147457741,0
300,1200x900,800,1,600,400,572.560503256,510.150764521,0.15297024661,967.494313651,571.039559935,0.15297024661,620,693,6.13021506057,0
301,1200x900,800,1,600,400,1017.04254583,363.50916813,2.36390156982,732.313378069,643.882956181,2.36390156982,162,574,0.777691083774,0
302,1200x900,800,1,600,400,1105.12223312,413.044806891,0.84712172391,1008.97909834,712.496128648,2.29447092968,479,467,0.84712172391,1
303,1200x900,800,1,600,400,1098.82928895,431.0,3.91596833465,813.17213573,151.571742993,3.91596833465,241,431,5.50880962612,0
304,1200x900,800,1,600,400,1053.18942244,555.008995156,4.38473308418,924.588344767,176.667981227,4.38473308418,667,605,5.04004487659,0
305,1200x900,800,1,600,400,772.785800544,325.059237728,0.331840816309,1150.58531777,455.242511565,0.331840816309,471,716,5.95134449087,0
306,1200x900,800,1,600,400,460.438551787,91.4351456497,1.82041258256,361.724514042,478.650458818,1.82041258256,164,524,1.32118007103,0
307,1200x900,800,1,600,400,467.185565441,342.131239498,6.203826001,865.527905384,310.452536745,6.203826001,716,247,0.0793593061769,0
308,1200x900,800,1,600,400,1095.73993758,350.776056156,2.15190378503,876.379538368,684.783803455,2.15190378503,437,425,0.989688868561,0
309,1200x900,800,1,600,400,665.897418444,453.771489722,1.98221990338,506.091578102,820.025845864,1.98221990338,186,225,1.15937275021,0
310,1200x900,800,1,600,400,654.528271062,304.208188605,0.242187141193,1042.46624989,400.0428618,0.242187141193,559,592,6.04099816599,0
311,1200x900,800,1,600,400,1095.90622705,381.443074727,1.89820297677,967.399453445,759.816130238,1.89820297677,710,261,1.24338967682,0
312,1200x900,800,1,600,400,1088.32690659,249.476519942,2.35831661328,805.168046698,531.436127089,2.35831661328,238,683,0.783276040305,0
313,1200x900,800,1,600,400,599.916709741,562.139255834,6.16529638426,996.743144109,515.139883641,6.16529638426,588,421,0.117888922916,0
314,1200x900,800,1,600,400,1030.86913783,621.415795921,0.468239890395,991.248174616,801.761800096,2.67335276319,277,616,0.468239890395,1
315,1200x900,800,1,600,400,993.071021672,619.367349521,3.87923062474,697.343371455,350.619666931,3.87923062474,105,211,5.54554733603,0
316,1200x900,800,1,600,400,946.115038654,411.245225946,2.0791760651,751.604730782,760.309546855,2.0791760651,362,319,1.06241658849,0
317,1200x900,800,1,600,400,502.192285502,57.0939399859,1.83830226413,396.56725443,442.481423969,1.83830226413,185,564,1.30329038946,0
318,1200x900,800,1,600,400,1186.60302925,112.946672427,1.90939874597,1053.86822051,489.857312432,1.90939874597,788,534,1.23219390762,0
319,1200x900,800,1,600,400,1171.07661992,228.276303421,0.933306864498,970.381967816,549.39187052,2.20828578909,494,587,0.933306864498,1
320,1200x900,800,1,600,400,546.476724384,535.830886017,6.14959591438,942.516368044,482.607200973,6.14959591438,644,376,0.1335893928,0
321,1200x900,800,1,600,400,654.956748161,610.001926187,5.92561249,1029.28168853,470.141284767,5.92561249,601,190,0.357572817184,0
322,1200x900,800,1,600,400,751.05435524,807.687045292,0.691795536244,1058.78705322,716.591932837,5.59138977094,703,206,0.691795536244,1
323,1200x900,800,1,600,400,833.76628005,316.804274971,1.95139018603,685.326108793,687.810576208,1.95139018603,388,348,1.19020246756,0
324,1200x900,800,1,600,400,1137.99063048,392.043197149,5.16162467157,1066.59546086,32.0917939419,4.2631532892,719,712,5.16162467157,1
325,1200x900,800,1,600,400,945.901247409,484.745230701,3.93593927531,665.881132022,199.668232368,3.93593927531,105,394,5.48883868546,0
326,1200x900,800,1,600,400,1043.77895592,552.024319147,2.47185163476,730.4995636,800.089194425,2.47185163476,103,482,0.669741018834,0
327,1200x900,800,1,600,400,928.370564152,598.863685319,4.00877779176,669.839166289,294.164364153,4.00877779176,152,339,5.41600016901,0
328,1200x900,800,1,600,400,1140.42608682,524.404741113,2.61333863284,795.296199907,725.813581935,2.61333863284,104,649,0.52825402075,0
329,1200x900,800,1,600,400,694.62093537,511.892589184,6.05376763592,1083.75101088,421.019356986,6.05376763592,517,239,0.229417671259,0
330,1200x900,800,1,600,400,1142.60415297,822.907556429,5.12128833401,1077.23876869,456.250981976,4.30348962676,759,301,5.12128833401,1
331,1200x900,800,1,600,400,751.401139753,72.8711764456,2.01104851195,581.104560215,434.367006294,2.01104851195,240,620,1.13054414164,0
332,1200x900,800,1,600,400,951.228658334,98.677304552,2.18465248072,721.049515109,425.323477075,2.18465248072,260,699,0.956940172871,0
333,1200x900,800,1,600,400,769.253054044,43.5686298531,0.43384146171,1131.83317245,211.544276112,0.43384146171,521,548,5.84934384547,0
334,1200x900,800,1,600,400,705.402556799,788.474450656,6.18010749434,1102.88155368,747.357458587,6.18010749434,481,665,0.103077812836,0
335,1200x900,800,1,600,400,975.331236953,573.120368283,2.35950345533,691.837935047,854.743712087,2.35950345533,124,360,0.782089198264,0
336,1200x900,800,1,600,400,1144.29133331,389.888043445,2.4104462999,846.825319315,656.710326099,2.4104462999,251,587,0.731146353686,0
337,1200x900,800,1,600,400,964.964919589,158.814867123,2.15912415039,743.198601366,491.230059468,2.15912415039,299,622,0.982468503198,0
338,1200x900,800,1,600,400,603.300891464,808.290425082,0.640826174007,923.621089365,731.525469676,5.64235913317,813,253,0.640826174007,1
339,1200x900,800,1,600,400,1050.58205703,664.499655937,0.49406080978,977.683739188,853.991967495,2.64753184381,273,545,0.49406080978,1
340,1200x900,800,1,600,400,694.913214658,434.40794588,1.97225451947,538.765114177,802.236616209,1.97225451947,226,240,1.16933813412,0
341,1200x900,800,1,600,400,653.77114152,68.495857922,5.68347035107,983.639554614,180.248482252,0.599714956113,735,632,5.68347035107,1
342,1200x900,800,1,600,400,651.793302114,784.442811222,5.77830539084,1001.53623528,591.155355085,5.77830539084,677,204,0.504879916344,0
343,1200x900,800,1,600,400,990.597287854,515.058818222,4.20450309749,796.259390998,165.898479916,4.20450309749,407,557,5.22027486328,0
344,1200x900,800,1,600,400,621.723347368,680.325906381,6.05425255011,1010.89744285,589.641379556,6.05425255011,589,408,0.228932757065,0
345,1200x900,800,1,600,400,1132.48956388,82.5116764732,1.22667231094,1111.03269321,458.683666507,1.91492034265,841,566,1.22667231094,1
346,1200x900,800,1,600,400,1032.95999972,218.570010009,2.26092100274,778.561319811,526.728202602,2.26092100274,269,635,0.880671650854,0
347,1200x900,800,1,600,400,1170.92772616,372.84452251,1.18558888499,1057.75140887,743.162036735,1.95600376859,757,295,1.18558888499,1
348,1200x900,800,1,600,400,420.12564706,413.768485598,6.18321178474,817.730367647,373.885579894,6.18321178474,764,294,0.0999735224424,0
349,1200x900,800,1,600,400,1159.23937781,182.789984241,2.25368018396,907.078665002,492.782137229,2.25368018396,402,665,0.887912469634,0
350,1200x900,800,1,600,400,864.377482761,443.599941624,4.10752778669,637.145781001,114.89655905,4.10752778669,182,566,5.31725017408,0
351,1200x900,800,1,600,400,1041.57363356,426.807350051,2.44387630658,735.355613587,683.538112216,2.44387630658,122,581,0.697716347008,0
352,1200x900,800,1,600,400,1153.36342774,289.0879418,2.44230804053,847.548406305,546.298619382,2.44230804053,235,717,0.699284613055,0
353,1200x900,800,1,600,400,705.292199189,272.010457035,2.10917361263,500.399896859,615.083779294,2.10917361263,90,476,1.03241904096,0
354,1200x900,800,1,600,400,1081.38476447,502.152883645,3.78037785666,760.577637901,263.903124898,3.78037785666,118,236,5.64440010411,0
355,1200x900,800,1,600,400,858.491007717,482.528223849,2.28001692756,598.254502147,785.772549713,2.28001692756,77,386,0.861575726033,0
356,1200x900,800,1,600,400,943.779192347,419.220553959,2.32400453771,670.459721295,710.728061142,2.32400453771,123,484,0.817588115883,0
357,1200x900,800,1,600,400,1041.16245182,429.258745246,2.46036793802,730.752355366,680.904790352,2.46036793802,109,594,0.681224715569,0
358,1200x900,800,1,600,400,590.349085998,542.640958831,4.43609620947,481.341840361,158.196449963,4.43609620947,263,635,4.9886817513,0
359,1200x900,800,1,600,400,536.475484438,79.0803950739,0.135345847909,932.421032215,132.999623514,0.135345847909,653,241,6.14783945927,0
360,1200x900,800,1,600,400,980.052221866,256.857280142,2.27515272163,721.293831985,561.363857519,2.27515272163,203,608,0.866439931963,0
361,1200x900,800,2,600,400,826.564508138,722.150125189,5.25693893714,1033.57057236,380.348063502,5.25693893714,931,328,5.25693893714,0
362,1200x900,800,2,600,400,788.155022306,521.88769338,0.872904676317,1044.93946161,828.060702858,0.872904676317,819,338,0.872904676317,0
363,1200x900,800,2,600,400,548.513801453,419.578986545,5.74550879018,891.730621601,214.927149595,5.74550879018,800,218,5.74550879018,0
364,1200x900,800,2,600,400,884.709421772,472.775500946,1.16287927499,1043.23000231,839.587967401,1.16287927499,1018,204,1.16287927499,0
365,1200x900,800,2,600,400,928.624420542,341.260889801,1.23544274934,1060.13400792,718.600774294,1.23544274934,1055,305,1.23544274934,0
366,1200x900,800,2,600,400,962.093160649,657.116884727,5.12921345249,1123.87476215,291.730960783,5.12921345249,931,464,5.12921345249,0
367,1200x900,800,2,600,400,793.717082887,610.488545351,0.627216347555,1117.25895709,845.011072283,0.627216347555,613,464,0.627216347555,0
368,1200x900,800,2,600,400,710.255433896,310.936795394,5.54965158823,1007.08359854,43.4051137649,5.54965158823,778,515,5.54965158823,0
369,1200x900,800,2,600,400,962.478614602,99.2681919821,1.12930430684,1133.22325824,460.552604416,1.12930430684,903,594,1.12930430684,0
370,1200x900,800,2,600,400,982.590587537,768.193063687,5.16249216453,1156.43994162,408.392338168,5.16249216453,874,336,5.16249216453,0
371,1200x900,800,2,600,400,623.251626871,597.298979707,0.54455953293,965.051706217,804.308317079,0.54455953293,730,560,0.54455953293,0
372,1200x900,800,2,600,400,465.533497864,636.68628373,0.44952596167,825.434513191,810.327923801,0.44952596167,833,620,0.44952596167,0
373,1200x900,800,2,600,400,605.536908693,223.001800435,5.82990435101,964.783364853,48.0099613782,5.82990435101,694,326,5.82990435101,0
374,1200x900,800,2,600,400,664.769063889,608.428280532,0.643635019551,984.41695458,848.231086973,0.643635019551,755,450,0.643635019551,0
375,1200x900,800,2,600,400,944.308860745,601.306299621,5.35375886615,1183.38700737,281.116043985,5.35375886615,716,384,5.35375886615,0
376,1200x900,800,2,600,400,925.104917728,746.299207398,5.30030907674,1146.73568279,413.793622518,5.30030907674,788,275,5.30030907674,0
377,1200x900,800,2,600,400,780.12175544,409.697720305,5.58115989529,1085.2306664,151.649832396,5.58115989529,683,388,5.58115989529,0
378,1200x900,800,2,600,400,961.304425069,445.461705454,5.05157596733,1094.25954093,68.6287223351,5.05157596733,1018,708,5.05157596733,0
379,1200x900,800,2,600,400,883.783511621,364.255107078,1.14011864257,1050.6111963,727.364847547,1.14011864257,994,325,1.14011864257,0
380,1200x900,800,2,600,400,767.982640426,791.743048589,5.30405901649,990.858720188,460.070901628,5.30405901649,942,228,5.30405901649,0
381,1200x900,800,2,600,400,706.934785545,325.635815651,5.65002338758,1029.07657882,89.1938036822,5.65002338758,705,408,5.65002338758,0
382,1200x900,800,2,600,400,614.207376252,300.585272148,5.55339841831,912.035850756,34.1676305122,5.55339841831,870,523,5.55339841831,0
383,1200x900,800,2,600,400,589.42270039,619.068759297,0.677286452102,900.821435496,869.490379319,0.677286452102,855,407,0.677286452102,0
384,1200x900,800,2,600,400,444.560414788,624.792329912,0.38150463078,815.431367083,773.570341539,0.38150463078,821,707,0.38150463078,0
385,1200x900,800,2,600,400,668.124136027,618.07823246,0.627644692947,991.565523906,852.739325544,0.627644692947,740,456,0.627644692947,0
386,1200x900,800,2,600,400,818.045711691,629.078598648,5.42715687556,1079.96039014,327.282539671,5.42715687556,774,301,5.42715687556,0
387,1200x900,800,2,600,400,958.147551163,699.392844099,5.07926248069,1101.48357093,326.384874428,5.07926248069,990,444,5.07926248069,0
388,1200x900,800,2,600,400,908.386846892,388.573984342,1.10372411707,1088.31634652,745.372996624,1.10372411707,930,320,1.10372411707,0
389,1200x900,800,2,600,400,690.8491754,344.315982652,5.49396923602,972.32820091,60.6793873446,5.49396923602,843,530,5.49396923602,0
390,1200x900,800,2,600,400,967.421996629,39.6352542485,5.07776873249,1110.20067671,356.817627124,1.20541657469,982,674,1.20541657469,1
391,1200x900,800,2,600,400,670.372673138,383.434860382,5.4577302107,941.3904262,89.786196967,5.4577302107,895,521,5.4577302107,0
392,1200x900,800,2,600,400,906.736658536,44.2904668472,1.19479030357,1053.4731575,415.973880349,1.19479030357,1031,618,1.19479030357,0
393,1200x900,800,2,600,400,639.690670523,639.732107328,0.447509531026,999.94109026,812.647679442,0.447509531026,657,620,0.447509531026,0
394,1200x900,800,2,600,400,880.819894992,477.557635042,0.997998416729,1097.39729946,813.376615853,0.997998416729,847,292,0.997998416729,0
395,1200x900,800,2,600,400,918.127046614,651.35950832,5.35353154551,1157.13240121,331.114913561,5.35353154551,743,334,5.35353154551,0
396,1200x900,800,2,600,400,680.042492767,485.305128597,0.552836193418,1020.11753855,695.13630653,0.552836193418,678,663,0.552836193418,0
397,1200x900,800,2,600,400,671.047480256,281.463879183,0.735301321747,967.402291687,549.519816893,0.735301321747,817,692,0.735301321747,0
398,1200x900,800,2,600,400,741.637227588,100.41202701,0.955109549471,972.413950921,426.636281118,0.955109549471,944,698,0.955109549471,0
399,1200x900,800,2,600,400,736.091546474,578.037952662,0.522686016823,1082.33752285,777.52199675,0.522686016823,603,602,0.522686016823,0
400,1200x900,800,2,600,400,747.366290047,523.094668985,5.55780062967,1046.36470166,257.99070852,5.55780062967,733,297,5.55780062967,0
